,combos,R2,R2_adj,RMSE
22120,"['team', 'minutes_played', 'turnover_percentage', 'box_plus_minus', 'allstar', 'exp', 'exp^2']",0.448,0.444,1.056
22039,"['team', 'minutes_played', 'block_percentage', 'usage_percentage', 'value_over_replacement_player', 'exp', 'exp^2']",0.448,0.444,1.056
17966,"['age', 'team', 'minutes_played', 'steal_percentage', 'usage_percentage', 'exp', 'exp^2']",0.448,0.444,1.056
22132,"['team', 'minutes_played', 'usage_percentage', 'defensive_win_shares', 'offensive_box_plus_minus', 'exp', 'exp^2']",0.448,0.443,1.056
17792,"['age', 'team', 'games_played', 'usage_percentage', 'defensive_box_plus_minus', 'exp', 'exp^2']",0.448,0.444,1.056
21594,"['team', 'minutes_played', 'offensive_rebound_percentage', 'assist_percentage', 'usage_percentage', 'exp', 'exp^2']",0.448,0.443,1.056
21898,"['team', 'minutes_played', 'assist_percentage', 'block_percentage', 'box_plus_minus', 'exp', 'exp^2']",0.447,0.443,1.056
19568,"['team', 'games_played', 'minutes_played', 'win_shares_per_48_minutes', 'defensive_box_plus_minus', 'exp', 'exp^2']",0.447,0.443,1.056
402,"['team', 'minutes_played', 'total_rebound_percentage', 'exp', 'exp^2']",0.448,0.444,1.056
7253,"['positions', 'team', 'minutes_played', 'three_point_attempt_rate', 'usage_percentage', 'exp', 'exp^2']",0.448,0.443,1.056
396,"['team', 'minutes_played', 'player_efficiency_rating', 'exp', 'exp^2']",0.447,0.443,1.056
3491,"['team', 'minutes_played', 'offensive_rebound_percentage', 'usage_percentage', 'exp', 'exp^2']",0.447,0.443,1.056
7220,"['positions', 'team', 'minutes_played', 'player_efficiency_rating', 'win_shares_per_48_minutes', 'exp', 'exp^2']",0.448,0.443,1.056
7219,"['positions', 'team', 'minutes_played', 'player_efficiency_rating', 'win_shares', 'exp', 'exp^2']",0.448,0.443,1.056
7215,"['positions', 'team', 'minutes_played', 'player_efficiency_rating', 'turnover_percentage', 'exp', 'exp^2']",0.448,0.443,1.056
19401,"['team', 'games_played', 'minutes_played', 'true_shooting_percentage', 'usage_percentage', 'exp', 'exp^2']",0.447,0.443,1.056
7206,"['positions', 'team', 'minutes_played', 'player_efficiency_rating', 'true_shooting_percentage', 'exp', 'exp^2']",0.448,0.444,1.056
20809,"['team', 'games_played', 'usage_percentage', 'win_shares', 'defensive_box_plus_minus', 'exp', 'exp^2']",0.447,0.443,1.056
20818,"['team', 'games_played', 'usage_percentage', 'offensive_box_plus_minus', 'defensive_box_plus_minus', 'exp', 'exp^2']",0.448,0.444,1.056
20819,"['team', 'games_played', 'usage_percentage', 'offensive_box_plus_minus', 'box_plus_minus', 'exp', 'exp^2']",0.448,0.444,1.056
20822,"['team', 'games_played', 'usage_percentage', 'defensive_box_plus_minus', 'box_plus_minus', 'exp', 'exp^2']",0.448,0.444,1.056
20826,"['team', 'games_played', 'usage_percentage', 'box_plus_minus', 'allstar', 'exp', 'exp^2']",0.448,0.444,1.056
5603,"['positions', 'age', 'minutes_played', 'usage_percentage', 'win_shares_per_48_minutes', 'exp', 'exp^2']",0.448,0.446,1.056
5551,"['positions', 'age', 'minutes_played', 'total_rebound_percentage', 'box_plus_minus', 'exp', 'exp^2']",0.448,0.447,1.056
5549,"['positions', 'age', 'minutes_played', 'total_rebound_percentage', 'offensive_box_plus_minus', 'exp', 'exp^2']",0.448,0.447,1.056
7286,"['positions', 'team', 'minutes_played', 'offensive_rebound_percentage', 'usage_percentage', 'exp', 'exp^2']",0.448,0.443,1.056
3619,"['team', 'minutes_played', 'box_plus_minus', 'allstar', 'exp', 'exp^2']",0.448,0.444,1.056
7414,"['positions', 'team', 'minutes_played', 'box_plus_minus', 'allstar', 'exp', 'exp^2']",0.448,0.444,1.056
7402,"['positions', 'team', 'minutes_played', 'win_shares_per_48_minutes', 'defensive_box_plus_minus', 'exp', 'exp^2']",0.447,0.443,1.056
21271,"['team', 'minutes_played', 'true_shooting_percentage', 'box_plus_minus', 'allstar', 'exp', 'exp^2']",0.448,0.444,1.056
3498,"['team', 'minutes_played', 'offensive_rebound_percentage', 'box_plus_minus', 'exp', 'exp^2']",0.448,0.444,1.056
3517,"['team', 'minutes_played', 'total_rebound_percentage', 'steal_percentage', 'exp', 'exp^2']",0.448,0.444,1.056
3521,"['team', 'minutes_played', 'total_rebound_percentage', 'offensive_win_shares', 'exp', 'exp^2']",0.448,0.444,1.056
3522,"['team', 'minutes_played', 'total_rebound_percentage', 'defensive_win_shares', 'exp', 'exp^2']",0.448,0.444,1.056
3523,"['team', 'minutes_played', 'total_rebound_percentage', 'win_shares', 'exp', 'exp^2']",0.448,0.444,1.056
21269,"['team', 'minutes_played', 'true_shooting_percentage', 'defensive_box_plus_minus', 'allstar', 'exp', 'exp^2']",0.448,0.444,1.056
3556,"['team', 'minutes_played', 'block_percentage', 'usage_percentage', 'exp', 'exp^2']",0.448,0.444,1.056
20920,"['team', 'minutes_played', 'player_efficiency_rating', 'true_shooting_percentage', 'turnover_percentage', 'exp', 'exp^2']",0.448,0.444,1.056
11121,"['positions', 'minutes_played', 'defensive_rebound_percentage', 'usage_percentage', 'defensive_box_plus_minus', 'exp', 'exp^2']",0.448,0.447,1.056
3428,"['team', 'minutes_played', 'player_efficiency_rating', 'box_plus_minus', 'exp', 'exp^2']",0.448,0.444,1.056
3425,"['team', 'minutes_played', 'player_efficiency_rating', 'win_shares_per_48_minutes', 'exp', 'exp^2']",0.447,0.443,1.056
3424,"['team', 'minutes_played', 'player_efficiency_rating', 'win_shares', 'exp', 'exp^2']",0.448,0.443,1.056
3423,"['team', 'minutes_played', 'player_efficiency_rating', 'defensive_win_shares', 'exp', 'exp^2']",0.448,0.444,1.056
3420,"['team', 'minutes_played', 'player_efficiency_rating', 'turnover_percentage', 'exp', 'exp^2']",0.447,0.443,1.056
3411,"['team', 'minutes_played', 'player_efficiency_rating', 'true_shooting_percentage', 'exp', 'exp^2']",0.448,0.444,1.056
925,"['positions', 'team', 'minutes_played', 'player_efficiency_rating', 'exp', 'exp^2']",0.447,0.443,1.056
7358,"['positions', 'team', 'minutes_played', 'block_percentage', 'box_plus_minus', 'exp', 'exp^2']",0.447,0.443,1.056
3429,"['team', 'minutes_played', 'player_efficiency_rating', 'value_over_replacement_player', 'exp', 'exp^2']",0.448,0.444,1.056
20925,"['team', 'minutes_played', 'player_efficiency_rating', 'true_shooting_percentage', 'win_shares_per_48_minutes', 'exp', 'exp^2']",0.448,0.444,1.056
3458,"['team', 'minutes_played', 'three_point_attempt_rate', 'usage_percentage', 'exp', 'exp^2']",0.448,0.444,1.056
21051,"['team', 'minutes_played', 'player_efficiency_rating', 'turnover_percentage', 'win_shares_per_48_minutes', 'exp', 'exp^2']",0.447,0.443,1.056
21150,"['team', 'minutes_played', 'true_shooting_percentage', 'offensive_rebound_percentage', 'box_plus_minus', 'exp', 'exp^2']",0.448,0.444,1.056
21383,"['team', 'minutes_played', 'three_point_attempt_rate', 'usage_percentage', 'win_shares', 'exp', 'exp^2']",0.448,0.443,1.056
21119,"['team', 'minutes_played', 'true_shooting_percentage', 'three_point_attempt_rate', 'allstar', 'exp', 'exp^2']",0.448,0.444,1.056
21116,"['team', 'minutes_played', 'true_shooting_percentage', 'three_point_attempt_rate', 'defensive_box_plus_minus', 'exp', 'exp^2']",0.447,0.443,1.056
21381,"['team', 'minutes_played', 'three_point_attempt_rate', 'usage_percentage', 'offensive_win_shares', 'exp', 'exp^2']",0.448,0.444,1.056
2964,"['age', 'team', 'minutes_played', 'win_shares_per_48_minutes', 'exp', 'exp^2']",0.448,0.443,1.056
2960,"['age', 'team', 'minutes_played', 'usage_percentage', 'exp', 'exp^2']",0.448,0.444,1.056
4984,"['positions', 'age', 'team', 'minutes_played', 'usage_percentage', 'exp', 'exp^2']",0.448,0.444,1.056
19538,"['team', 'games_played', 'minutes_played', 'usage_percentage', 'defensive_win_shares', 'exp', 'exp^2']",0.448,0.444,1.056
4988,"['positions', 'age', 'team', 'minutes_played', 'win_shares_per_48_minutes', 'exp', 'exp^2']",0.448,0.443,1.056
21388,"['team', 'minutes_played', 'three_point_attempt_rate', 'usage_percentage', 'value_over_replacement_player', 'exp', 'exp^2']",0.448,0.443,1.056
21050,"['team', 'minutes_played', 'player_efficiency_rating', 'turnover_percentage', 'win_shares', 'exp', 'exp^2']",0.448,0.443,1.056
19524,"['team', 'games_played', 'minutes_played', 'block_percentage', 'box_plus_minus', 'exp', 'exp^2']",0.448,0.443,1.056
21090,"['team', 'minutes_played', 'player_efficiency_rating', 'win_shares_per_48_minutes', 'value_over_replacement_player', 'exp', 'exp^2']",0.448,0.444,1.056
21085,"['team', 'minutes_played', 'player_efficiency_rating', 'win_shares', 'value_over_replacement_player', 'exp', 'exp^2']",0.448,0.444,1.056
21203,"['team', 'minutes_played', 'true_shooting_percentage', 'steal_percentage', 'defensive_box_plus_minus', 'exp', 'exp^2']",0.447,0.443,1.056
21081,"['team', 'minutes_played', 'player_efficiency_rating', 'win_shares', 'win_shares_per_48_minutes', 'exp', 'exp^2']",0.448,0.443,1.056
21054,"['team', 'minutes_played', 'player_efficiency_rating', 'turnover_percentage', 'box_plus_minus', 'exp', 'exp^2']",0.448,0.444,1.056
21055,"['team', 'minutes_played', 'player_efficiency_rating', 'turnover_percentage', 'value_over_replacement_player', 'exp', 'exp^2']",0.448,0.444,1.056
21350,"['team', 'minutes_played', 'three_point_attempt_rate', 'steal_percentage', 'usage_percentage', 'exp', 'exp^2']",0.448,0.444,1.056
19521,"['team', 'games_played', 'minutes_played', 'block_percentage', 'win_shares_per_48_minutes', 'exp', 'exp^2']",0.447,0.442,1.057
7355,"['positions', 'team', 'minutes_played', 'block_percentage', 'win_shares_per_48_minutes', 'exp', 'exp^2']",0.447,0.442,1.057
21559,"['team', 'minutes_played', 'free_throw_attempt_rate', 'box_plus_minus', 'value_over_replacement_player', 'exp', 'exp^2']",0.446,0.442,1.057
21264,"['team', 'minutes_played', 'true_shooting_percentage', 'offensive_box_plus_minus', 'box_plus_minus', 'exp', 'exp^2']",0.446,0.442,1.057
21263,"['team', 'minutes_played', 'true_shooting_percentage', 'offensive_box_plus_minus', 'defensive_box_plus_minus', 'exp', 'exp^2']",0.446,0.442,1.057
17887,"['age', 'team', 'minutes_played', 'three_point_attempt_rate', 'value_over_replacement_player', 'exp', 'exp^2']",0.447,0.442,1.057
21262,"['team', 'minutes_played', 'true_shooting_percentage', 'win_shares_per_48_minutes', 'allstar', 'exp', 'exp^2']",0.447,0.442,1.057
21267,"['team', 'minutes_played', 'true_shooting_percentage', 'defensive_box_plus_minus', 'box_plus_minus', 'exp', 'exp^2']",0.446,0.442,1.057
21259,"['team', 'minutes_played', 'true_shooting_percentage', 'win_shares_per_48_minutes', 'defensive_box_plus_minus', 'exp', 'exp^2']",0.447,0.443,1.057
17880,"['age', 'team', 'minutes_played', 'three_point_attempt_rate', 'offensive_win_shares', 'exp', 'exp^2']",0.447,0.442,1.057
17882,"['age', 'team', 'minutes_played', 'three_point_attempt_rate', 'win_shares', 'exp', 'exp^2']",0.447,0.443,1.057
17875,"['age', 'team', 'minutes_played', 'three_point_attempt_rate', 'assist_percentage', 'exp', 'exp^2']",0.447,0.442,1.057
17876,"['age', 'team', 'minutes_played', 'three_point_attempt_rate', 'steal_percentage', 'exp', 'exp^2']",0.447,0.443,1.057
22180,"['team', 'minutes_played', 'offensive_win_shares', 'defensive_box_plus_minus', 'box_plus_minus', 'exp', 'exp^2']",0.446,0.442,1.057
19494,"['team', 'games_played', 'minutes_played', 'assist_percentage', 'usage_percentage', 'exp', 'exp^2']",0.446,0.442,1.057
10690,"['positions', 'minutes_played', 'three_point_attempt_rate', 'defensive_rebound_percentage', 'offensive_box_plus_minus', 'exp', 'exp^2']",0.447,0.446,1.057
19501,"['team', 'games_played', 'minutes_played', 'assist_percentage', 'box_plus_minus', 'exp', 'exp^2']",0.446,0.442,1.057
2951,"['age', 'team', 'minutes_played', 'three_point_attempt_rate', 'exp', 'exp^2']",0.447,0.442,1.057
17859,"['age', 'team', 'minutes_played', 'true_shooting_percentage', 'block_percentage', 'exp', 'exp^2']",0.447,0.442,1.057
10761,"['positions', 'minutes_played', 'three_point_attempt_rate', 'usage_percentage', 'box_plus_minus', 'exp', 'exp^2']",0.446,0.445,1.057
18035,"['age', 'team', 'minutes_played', 'offensive_box_plus_minus', 'allstar', 'exp', 'exp^2']",0.446,0.442,1.057
22177,"['team', 'minutes_played', 'offensive_win_shares', 'offensive_box_plus_minus', 'box_plus_minus', 'exp', 'exp^2']",0.446,0.442,1.057
22176,"['team', 'minutes_played', 'offensive_win_shares', 'offensive_box_plus_minus', 'defensive_box_plus_minus', 'exp', 'exp^2']",0.446,0.442,1.057
19456,"['team', 'games_played', 'minutes_played', 'offensive_rebound_percentage', 'win_shares_per_48_minutes', 'exp', 'exp^2']",0.447,0.442,1.057
21678,"['team', 'minutes_played', 'offensive_rebound_percentage', 'defensive_box_plus_minus', 'allstar', 'exp', 'exp^2']",0.447,0.443,1.057
17870,"['age', 'team', 'minutes_played', 'true_shooting_percentage', 'allstar', 'exp', 'exp^2']",0.446,0.442,1.057
17871,"['age', 'team', 'minutes_played', 'three_point_attempt_rate', 'free_throw_attempt_rate', 'exp', 'exp^2']",0.447,0.443,1.057
21670,"['team', 'minutes_played', 'offensive_rebound_percentage', 'win_shares_per_48_minutes', 'value_over_replacement_player', 'exp', 'exp^2']",0.447,0.443,1.057
21552,"['team', 'minutes_played', 'free_throw_attempt_rate', 'offensive_box_plus_minus', 'defensive_box_plus_minus', 'exp', 'exp^2']",0.446,0.442,1.057
21553,"['team', 'minutes_played', 'free_throw_attempt_rate', 'offensive_box_plus_minus', 'box_plus_minus', 'exp', 'exp^2']",0.446,0.442,1.057
21556,"['team', 'minutes_played', 'free_throw_attempt_rate', 'defensive_box_plus_minus', 'box_plus_minus', 'exp', 'exp^2']",0.446,0.442,1.057
17910,"['age', 'team', 'minutes_played', 'offensive_rebound_percentage', 'block_percentage', 'exp', 'exp^2']",0.447,0.442,1.057
22162,"['team', 'minutes_played', 'offensive_win_shares', 'defensive_win_shares', 'box_plus_minus', 'exp', 'exp^2']",0.446,0.442,1.057
21236,"['team', 'minutes_played', 'true_shooting_percentage', 'usage_percentage', 'allstar', 'exp', 'exp^2']",0.446,0.442,1.057
21661,"['team', 'minutes_played', 'offensive_rebound_percentage', 'win_shares', 'win_shares_per_48_minutes', 'exp', 'exp^2']",0.447,0.442,1.057
22108,"['team', 'minutes_played', 'turnover_percentage', 'win_shares_per_48_minutes', 'defensive_box_plus_minus', 'exp', 'exp^2']",0.447,0.443,1.057
21655,"['team', 'minutes_played', 'offensive_rebound_percentage', 'defensive_win_shares', 'win_shares_per_48_minutes', 'exp', 'exp^2']",0.447,0.442,1.057
22043,"['team', 'minutes_played', 'block_percentage', 'offensive_win_shares', 'win_shares_per_48_minutes', 'exp', 'exp^2']",0.447,0.443,1.057
21622,"['team', 'minutes_played', 'offensive_rebound_percentage', 'block_percentage', 'offensive_box_plus_minus', 'exp', 'exp^2']",0.447,0.443,1.057
19558,"['team', 'games_played', 'minutes_played', 'defensive_win_shares', 'box_plus_minus', 'exp', 'exp^2']",0.447,0.442,1.057
19428,"['team', 'games_played', 'minutes_played', 'three_point_attempt_rate', 'allstar', 'exp', 'exp^2']",0.447,0.443,1.057
22050,"['team', 'minutes_played', 'block_percentage', 'defensive_win_shares', 'win_shares_per_48_minutes', 'exp', 'exp^2']",0.447,0.442,1.057
22056,"['team', 'minutes_played', 'block_percentage', 'win_shares', 'win_shares_per_48_minutes', 'exp', 'exp^2']",0.447,0.442,1.057
22062,"['team', 'minutes_played', 'block_percentage', 'win_shares_per_48_minutes', 'offensive_box_plus_minus', 'exp', 'exp^2']",0.446,0.442,1.057
21631,"['team', 'minutes_played', 'offensive_rebound_percentage', 'turnover_percentage', 'win_shares_per_48_minutes', 'exp', 'exp^2']",0.446,0.442,1.057
17993,"['age', 'team', 'minutes_played', 'turnover_percentage', 'defensive_box_plus_minus', 'exp', 'exp^2']",0.447,0.442,1.057
22065,"['team', 'minutes_played', 'block_percentage', 'win_shares_per_48_minutes', 'value_over_replacement_player', 'exp', 'exp^2']",0.447,0.443,1.057
22068,"['team', 'minutes_played', 'block_percentage', 'offensive_box_plus_minus', 'box_plus_minus', 'exp', 'exp^2']",0.447,0.443,1.057
22071,"['team', 'minutes_played', 'block_percentage', 'defensive_box_plus_minus', 'box_plus_minus', 'exp', 'exp^2']",0.447,0.443,1.057
10361,"['positions', 'minutes_played', 'player_efficiency_rating', 'defensive_rebound_percentage', 'usage_percentage', 'exp', 'exp^2']",0.447,0.446,1.057
17983,"['age', 'team', 'minutes_played', 'block_percentage', 'defensive_box_plus_minus', 'exp', 'exp^2']",0.446,0.442,1.057
22111,"['team', 'minutes_played', 'turnover_percentage', 'win_shares_per_48_minutes', 'allstar', 'exp', 'exp^2']",0.447,0.442,1.057
22112,"['team', 'minutes_played', 'turnover_percentage', 'offensive_box_plus_minus', 'defensive_box_plus_minus', 'exp', 'exp^2']",0.446,0.442,1.057
22151,"['team', 'minutes_played', 'usage_percentage', 'offensive_box_plus_minus', 'allstar', 'exp', 'exp^2']",0.446,0.442,1.057
19572,"['team', 'games_played', 'minutes_played', 'offensive_box_plus_minus', 'defensive_box_plus_minus', 'exp', 'exp^2']",0.447,0.442,1.057
22168,"['team', 'minutes_played', 'offensive_win_shares', 'win_shares', 'box_plus_minus', 'exp', 'exp^2']",0.446,0.442,1.057
7405,"['positions', 'team', 'minutes_played', 'win_shares_per_48_minutes', 'allstar', 'exp', 'exp^2']",0.447,0.442,1.057
7406,"['positions', 'team', 'minutes_played', 'offensive_box_plus_minus', 'defensive_box_plus_minus', 'exp', 'exp^2']",0.446,0.442,1.057
7407,"['positions', 'team', 'minutes_played', 'offensive_box_plus_minus', 'box_plus_minus', 'exp', 'exp^2']",0.446,0.442,1.057
7410,"['positions', 'team', 'minutes_played', 'defensive_box_plus_minus', 'box_plus_minus', 'exp', 'exp^2']",0.446,0.442,1.057
21598,"['team', 'minutes_played', 'offensive_rebound_percentage', 'assist_percentage', 'win_shares_per_48_minutes', 'exp', 'exp^2']",0.446,0.442,1.057
7413,"['positions', 'team', 'minutes_played', 'box_plus_minus', 'value_over_replacement_player', 'exp', 'exp^2']",0.446,0.442,1.057
21667,"['team', 'minutes_played', 'offensive_rebound_percentage', 'win_shares_per_48_minutes', 'offensive_box_plus_minus', 'exp', 'exp^2']",0.446,0.442,1.057
22118,"['team', 'minutes_played', 'turnover_percentage', 'defensive_box_plus_minus', 'allstar', 'exp', 'exp^2']",0.446,0.442,1.057
22026,"['team', 'minutes_played', 'block_percentage', 'turnover_percentage', 'win_shares_per_48_minutes', 'exp', 'exp^2']",0.446,0.442,1.057
19579,"['team', 'games_played', 'minutes_played', 'box_plus_minus', 'value_over_replacement_player', 'exp', 'exp^2']",0.446,0.442,1.057
19578,"['team', 'games_played', 'minutes_played', 'defensive_box_plus_minus', 'allstar', 'exp', 'exp^2']",0.447,0.442,1.057
11092,"['positions', 'minutes_played', 'defensive_rebound_percentage', 'steal_percentage', 'box_plus_minus', 'exp', 'exp^2']",0.447,0.445,1.057
22116,"['team', 'minutes_played', 'turnover_percentage', 'defensive_box_plus_minus', 'box_plus_minus', 'exp', 'exp^2']",0.446,0.442,1.057
19576,"['team', 'games_played', 'minutes_played', 'defensive_box_plus_minus', 'box_plus_minus', 'exp', 'exp^2']",0.447,0.442,1.057
21610,"['team', 'minutes_played', 'offensive_rebound_percentage', 'steal_percentage', 'win_shares_per_48_minutes', 'exp', 'exp^2']",0.447,0.443,1.057
19573,"['team', 'games_played', 'minutes_played', 'offensive_box_plus_minus', 'box_plus_minus', 'exp', 'exp^2']",0.447,0.442,1.057
22113,"['team', 'minutes_played', 'turnover_percentage', 'offensive_box_plus_minus', 'box_plus_minus', 'exp', 'exp^2']",0.446,0.442,1.057
21229,"['team', 'minutes_played', 'true_shooting_percentage', 'usage_percentage', 'defensive_win_shares', 'exp', 'exp^2']",0.447,0.443,1.057
11158,"['positions', 'minutes_played', 'defensive_rebound_percentage', 'box_plus_minus', 'value_over_replacement_player', 'exp', 'exp^2']",0.447,0.446,1.057
21270,"['team', 'minutes_played', 'true_shooting_percentage', 'box_plus_minus', 'value_over_replacement_player', 'exp', 'exp^2']",0.446,0.442,1.057
21152,"['team', 'minutes_played', 'true_shooting_percentage', 'offensive_rebound_percentage', 'allstar', 'exp', 'exp^2']",0.446,0.442,1.057
21932,"['team', 'minutes_played', 'assist_percentage', 'defensive_win_shares', 'box_plus_minus', 'exp', 'exp^2']",0.446,0.442,1.057
20415,"['team', 'games_played', 'defensive_rebound_percentage', 'usage_percentage', 'win_shares_per_48_minutes', 'exp', 'exp^2']",0.447,0.443,1.057
21212,"['team', 'minutes_played', 'true_shooting_percentage', 'block_percentage', 'win_shares_per_48_minutes', 'exp', 'exp^2']",0.446,0.442,1.057
11212,"['positions', 'minutes_played', 'total_rebound_percentage', 'usage_percentage', 'defensive_box_plus_minus', 'exp', 'exp^2']",0.447,0.446,1.057
21149,"['team', 'minutes_played', 'true_shooting_percentage', 'offensive_rebound_percentage', 'defensive_box_plus_minus', 'exp', 'exp^2']",0.446,0.442,1.057
21147,"['team', 'minutes_played', 'true_shooting_percentage', 'offensive_rebound_percentage', 'win_shares_per_48_minutes', 'exp', 'exp^2']",0.446,0.442,1.057
3607,"['team', 'minutes_played', 'win_shares_per_48_minutes', 'defensive_box_plus_minus', 'exp', 'exp^2']",0.447,0.443,1.057
3610,"['team', 'minutes_played', 'win_shares_per_48_minutes', 'allstar', 'exp', 'exp^2']",0.447,0.442,1.057
22222,"['team', 'minutes_played', 'win_shares_per_48_minutes', 'offensive_box_plus_minus', 'defensive_box_plus_minus', 'exp', 'exp^2']",0.447,0.443,1.057
22223,"['team', 'minutes_played', 'win_shares_per_48_minutes', 'offensive_box_plus_minus', 'box_plus_minus', 'exp', 'exp^2']",0.447,0.443,1.057
22225,"['team', 'minutes_played', 'win_shares_per_48_minutes', 'offensive_box_plus_minus', 'allstar', 'exp', 'exp^2']",0.447,0.443,1.057
21215,"['team', 'minutes_played', 'true_shooting_percentage', 'block_percentage', 'box_plus_minus', 'exp', 'exp^2']",0.447,0.443,1.057
22226,"['team', 'minutes_played', 'win_shares_per_48_minutes', 'defensive_box_plus_minus', 'box_plus_minus', 'exp', 'exp^2']",0.447,0.443,1.057
22229,"['team', 'minutes_played', 'win_shares_per_48_minutes', 'box_plus_minus', 'value_over_replacement_player', 'exp', 'exp^2']",0.446,0.442,1.057
20652,"['team', 'games_played', 'steal_percentage', 'usage_percentage', 'defensive_box_plus_minus', 'exp', 'exp^2']",0.447,0.443,1.057
22232,"['team', 'minutes_played', 'offensive_box_plus_minus', 'defensive_box_plus_minus', 'box_plus_minus', 'exp', 'exp^2']",0.446,0.442,1.057
21356,"['team', 'minutes_played', 'three_point_attempt_rate', 'steal_percentage', 'defensive_box_plus_minus', 'exp', 'exp^2']",0.446,0.442,1.057
11153,"['positions', 'minutes_played', 'defensive_rebound_percentage', 'offensive_box_plus_minus', 'value_over_replacement_player', 'exp', 'exp^2']",0.447,0.446,1.057
20796,"['team', 'games_played', 'usage_percentage', 'offensive_win_shares', 'defensive_box_plus_minus', 'exp', 'exp^2']",0.446,0.442,1.057
11154,"['positions', 'minutes_played', 'defensive_rebound_percentage', 'offensive_box_plus_minus', 'allstar', 'exp', 'exp^2']",0.446,0.445,1.057
6993,"['positions', 'team', 'games_played', 'minutes_played', 'box_plus_minus', 'exp', 'exp^2']",0.446,0.442,1.057
11159,"['positions', 'minutes_played', 'defensive_rebound_percentage', 'box_plus_minus', 'allstar', 'exp', 'exp^2']",0.446,0.445,1.057
20810,"['team', 'games_played', 'usage_percentage', 'win_shares', 'box_plus_minus', 'exp', 'exp^2']",0.447,0.443,1.057
11211,"['positions', 'minutes_played', 'total_rebound_percentage', 'usage_percentage', 'offensive_box_plus_minus', 'exp', 'exp^2']",0.447,0.446,1.057
7290,"['positions', 'team', 'minutes_played', 'offensive_rebound_percentage', 'win_shares_per_48_minutes', 'exp', 'exp^2']",0.447,0.442,1.057
11128,"['positions', 'minutes_played', 'defensive_rebound_percentage', 'offensive_win_shares', 'offensive_box_plus_minus', 'exp', 'exp^2']",0.446,0.445,1.057
20824,"['team', 'games_played', 'usage_percentage', 'defensive_box_plus_minus', 'allstar', 'exp', 'exp^2']",0.447,0.442,1.057
21950,"['team', 'minutes_played', 'assist_percentage', 'defensive_box_plus_minus', 'box_plus_minus', 'exp', 'exp^2']",0.446,0.442,1.057
22198,"['team', 'minutes_played', 'defensive_win_shares', 'offensive_box_plus_minus', 'box_plus_minus', 'exp', 'exp^2']",0.446,0.442,1.057
21961,"['team', 'minutes_played', 'steal_percentage', 'block_percentage', 'win_shares_per_48_minutes', 'exp', 'exp^2']",0.447,0.443,1.057
22196,"['team', 'minutes_played', 'defensive_win_shares', 'win_shares_per_48_minutes', 'allstar', 'exp', 'exp^2']",0.447,0.443,1.057
3560,"['team', 'minutes_played', 'block_percentage', 'win_shares_per_48_minutes', 'exp', 'exp^2']",0.446,0.442,1.057
3563,"['team', 'minutes_played', 'block_percentage', 'box_plus_minus', 'exp', 'exp^2']",0.447,0.443,1.057
21953,"['team', 'minutes_played', 'assist_percentage', 'box_plus_minus', 'value_over_replacement_player', 'exp', 'exp^2']",0.447,0.442,1.057
22195,"['team', 'minutes_played', 'defensive_win_shares', 'win_shares_per_48_minutes', 'value_over_replacement_player', 'exp', 'exp^2']",0.446,0.442,1.057
22201,"['team', 'minutes_played', 'defensive_win_shares', 'defensive_box_plus_minus', 'box_plus_minus', 'exp', 'exp^2']",0.446,0.442,1.057
22193,"['team', 'minutes_played', 'defensive_win_shares', 'win_shares_per_48_minutes', 'defensive_box_plus_minus', 'exp', 'exp^2']",0.447,0.443,1.057
21895,"['team', 'minutes_played', 'assist_percentage', 'block_percentage', 'win_shares_per_48_minutes', 'exp', 'exp^2']",0.446,0.442,1.057
22197,"['team', 'minutes_played', 'defensive_win_shares', 'offensive_box_plus_minus', 'defensive_box_plus_minus', 'exp', 'exp^2']",0.446,0.442,1.057
22189,"['team', 'minutes_played', 'defensive_win_shares', 'win_shares', 'box_plus_minus', 'exp', 'exp^2']",0.446,0.442,1.057
3495,"['team', 'minutes_played', 'offensive_rebound_percentage', 'win_shares_per_48_minutes', 'exp', 'exp^2']",0.446,0.442,1.057
21942,"['team', 'minutes_played', 'assist_percentage', 'win_shares_per_48_minutes', 'defensive_box_plus_minus', 'exp', 'exp^2']",0.447,0.443,1.057
4975,"['positions', 'age', 'team', 'minutes_played', 'three_point_attempt_rate', 'exp', 'exp^2']",0.447,0.442,1.057
21945,"['team', 'minutes_played', 'assist_percentage', 'win_shares_per_48_minutes', 'allstar', 'exp', 'exp^2']",0.447,0.443,1.057
21946,"['team', 'minutes_played', 'assist_percentage', 'offensive_box_plus_minus', 'defensive_box_plus_minus', 'exp', 'exp^2']",0.446,0.442,1.057
21947,"['team', 'minutes_played', 'assist_percentage', 'offensive_box_plus_minus', 'box_plus_minus', 'exp', 'exp^2']",0.446,0.442,1.057
19551,"['team', 'games_played', 'minutes_played', 'offensive_win_shares', 'box_plus_minus', 'exp', 'exp^2']",0.446,0.442,1.058
19534,"['team', 'games_played', 'minutes_played', 'turnover_percentage', 'box_plus_minus', 'exp', 'exp^2']",0.446,0.442,1.058
21224,"['team', 'minutes_played', 'true_shooting_percentage', 'turnover_percentage', 'defensive_box_plus_minus', 'exp', 'exp^2']",0.446,0.442,1.058
10368,"['positions', 'minutes_played', 'player_efficiency_rating', 'defensive_rebound_percentage', 'box_plus_minus', 'exp', 'exp^2']",0.445,0.444,1.058
