,combos,R2,R2_adj,RMSE
21572,"['team', 'minutes_played', 'offensive_rebound_percentage', 'defensive_rebound_percentage', 'offensive_box_plus_minus', 'exp', 'exp^2']",0.459,0.455,1.045
21704,"['team', 'minutes_played', 'defensive_rebound_percentage', 'assist_percentage', 'offensive_box_plus_minus', 'exp', 'exp^2']",0.459,0.455,1.045
20984,"['team', 'minutes_played', 'player_efficiency_rating', 'defensive_rebound_percentage', 'steal_percentage', 'exp', 'exp^2']",0.459,0.454,1.045
21001,"['team', 'minutes_played', 'player_efficiency_rating', 'total_rebound_percentage', 'usage_percentage', 'exp', 'exp^2']",0.459,0.455,1.045
20988,"['team', 'minutes_played', 'player_efficiency_rating', 'defensive_rebound_percentage', 'offensive_win_shares', 'exp', 'exp^2']",0.459,0.455,1.045
20990,"['team', 'minutes_played', 'player_efficiency_rating', 'defensive_rebound_percentage', 'win_shares', 'exp', 'exp^2']",0.459,0.455,1.045
20996,"['team', 'minutes_played', 'player_efficiency_rating', 'defensive_rebound_percentage', 'allstar', 'exp', 'exp^2']",0.459,0.455,1.045
20995,"['team', 'minutes_played', 'player_efficiency_rating', 'defensive_rebound_percentage', 'value_over_replacement_player', 'exp', 'exp^2']",0.459,0.455,1.045
20994,"['team', 'minutes_played', 'player_efficiency_rating', 'defensive_rebound_percentage', 'box_plus_minus', 'exp', 'exp^2']",0.459,0.455,1.045
21454,"['team', 'minutes_played', 'free_throw_attempt_rate', 'defensive_rebound_percentage', 'box_plus_minus', 'exp', 'exp^2']",0.459,0.455,1.045
20950,"['team', 'minutes_played', 'player_efficiency_rating', 'free_throw_attempt_rate', 'defensive_rebound_percentage', 'exp', 'exp^2']",0.459,0.455,1.045
21983,"['team', 'minutes_played', 'steal_percentage', 'usage_percentage', 'box_plus_minus', 'exp', 'exp^2']",0.459,0.455,1.045
21588,"['team', 'minutes_played', 'offensive_rebound_percentage', 'total_rebound_percentage', 'box_plus_minus', 'exp', 'exp^2']",0.459,0.454,1.045
21691,"['team', 'minutes_played', 'defensive_rebound_percentage', 'total_rebound_percentage', 'offensive_box_plus_minus', 'exp', 'exp^2']",0.459,0.455,1.045
22152,"['team', 'minutes_played', 'usage_percentage', 'defensive_box_plus_minus', 'box_plus_minus', 'exp', 'exp^2']",0.459,0.455,1.045
7306,"['positions', 'team', 'minutes_played', 'defensive_rebound_percentage', 'offensive_box_plus_minus', 'exp', 'exp^2']",0.459,0.455,1.045
7308,"['positions', 'team', 'minutes_played', 'defensive_rebound_percentage', 'box_plus_minus', 'exp', 'exp^2']",0.459,0.454,1.045
22153,"['team', 'minutes_played', 'usage_percentage', 'defensive_box_plus_minus', 'value_over_replacement_player', 'exp', 'exp^2']",0.459,0.455,1.045
18000,"['age', 'team', 'minutes_played', 'usage_percentage', 'win_shares_per_48_minutes', 'exp', 'exp^2']",0.459,0.455,1.045
22149,"['team', 'minutes_played', 'usage_percentage', 'offensive_box_plus_minus', 'box_plus_minus', 'exp', 'exp^2']",0.459,0.455,1.045
21756,"['team', 'minutes_played', 'defensive_rebound_percentage', 'offensive_win_shares', 'box_plus_minus', 'exp', 'exp^2']",0.459,0.455,1.045
22148,"['team', 'minutes_played', 'usage_percentage', 'offensive_box_plus_minus', 'defensive_box_plus_minus', 'exp', 'exp^2']",0.459,0.455,1.045
21693,"['team', 'minutes_played', 'defensive_rebound_percentage', 'total_rebound_percentage', 'box_plus_minus', 'exp', 'exp^2']",0.459,0.455,1.045
21761,"['team', 'minutes_played', 'defensive_rebound_percentage', 'defensive_win_shares', 'offensive_box_plus_minus', 'exp', 'exp^2']",0.459,0.455,1.045
21729,"['team', 'minutes_played', 'defensive_rebound_percentage', 'block_percentage', 'box_plus_minus', 'exp', 'exp^2']",0.459,0.454,1.045
21763,"['team', 'minutes_played', 'defensive_rebound_percentage', 'defensive_win_shares', 'box_plus_minus', 'exp', 'exp^2']",0.459,0.455,1.045
21727,"['team', 'minutes_played', 'defensive_rebound_percentage', 'block_percentage', 'offensive_box_plus_minus', 'exp', 'exp^2']",0.459,0.455,1.045
21739,"['team', 'minutes_played', 'defensive_rebound_percentage', 'turnover_percentage', 'box_plus_minus', 'exp', 'exp^2']",0.459,0.455,1.045
21737,"['team', 'minutes_played', 'defensive_rebound_percentage', 'turnover_percentage', 'offensive_box_plus_minus', 'exp', 'exp^2']",0.459,0.455,1.045
21716,"['team', 'minutes_played', 'defensive_rebound_percentage', 'steal_percentage', 'offensive_box_plus_minus', 'exp', 'exp^2']",0.459,0.455,1.045
19376,"['team', 'games_played', 'minutes_played', 'player_efficiency_rating', 'defensive_rebound_percentage', 'exp', 'exp^2']",0.459,0.455,1.045
21706,"['team', 'minutes_played', 'defensive_rebound_percentage', 'assist_percentage', 'box_plus_minus', 'exp', 'exp^2']",0.459,0.455,1.045
21233,"['team', 'minutes_played', 'true_shooting_percentage', 'usage_percentage', 'defensive_box_plus_minus', 'exp', 'exp^2']",0.459,0.454,1.045
